CAS,NOMBRE QUIMICO,FORMULA QUIMICA,OTROS NOMBRES
100-25-4,"Benceno, 1,4-dinitro -",C6H4N2O4,"benceno, p-dinitro-;  1,4-dinitrobenceno;  Para-dinitrobenceno;  p-dinitrobenceno; Para-dinitrobenzene; p-Dinitrobenzene;Benzene p-dinitro- (8CI); 14-Dinitrobenzene; NSC 3809;p-Dinitrobenceno."
100-36-7,"1,2-etanodiamina, N1, N1-dietil -",C6H16N2,"1,2-etanodiamina, N, N-dietil-; Etilendiamina, N, N-dietil-, 1-amino-2-(N, N-dietilamino) etano; 1-amino -2 - (dietilamino) etano; 2 - (dietilamino) etanamina; 2 - (dietilamino) etilamina; N, N-dietil-1 ,2-diaminoetano;N, N-dietil-1 ,2-etanodiamina; N, N - dietil-1 ,2-etilendiamina ; 1-Amino-2-(N N-diethylamino)ethane; 1-Amino-2-(diethylamino)ethane; 2-(Diethylamino)ethanamine; 2-(Diethylamino)ethylamine; N N-Diethyl-1 2-diaminoethane; N N-Diethyl-1 2-ethanediamine; N N-Diethyl-1 2-ethylenediamine; N N-Diethylethylenediamine; N-(2-Aminoethyl)-N N-diethylamine; N-(2-Diethylaminoethyl)amine; N-[2-(N N-Diethylamino)ethyl]amine; NSC 19675; beta -(Diethylamino)ethylamine;12-Ethanediamine NN-diethyl- (9CI); Ethylenediamine NN-diethyl- (6CI7CI8CI);N,n-dietiletilendiamina"
100-37-8,"Etanol, 2 - (dietilamino) -",C6H15NO,"(2-hidroxietil) dietilamina; (dietilamino) etanol; 2 - (dietilamino) etanol; 2 - (dietilamino) del alcohol etílico; 2 - (N, N-dietilamino) etanol; 2-hidroxitrietilamina; 2-(Diethylamino)ethanol; 2-(Diethylamino)ethyl alcohol; 2-(N N-Diethylamino)ethanol; 2-Hydroxytriethylamine; A 22; A 22 (amine); DEAE; DEEA; Diethyl(beta -hydroxyethyl)amine; Diethylethanolamine; Diethylmonoethanolamine; MKS; N N-Diethyl(2-hydroxyethyl)amine; N N-Diethyl-2-aminoethanol; N N-Diethylethanolamine; N N-Diethylmonoethanolamine; N-(2-Hydroxyethyl)diethylamine; NSC 8759; Pennad 150; beta -(Diethylamino)ethanol;(2-Hydroxyethyl)diethylamine; (Diethylamino)ethanol;Dietilaminoetanol 2"
100-38-9,"Etanotiol, 2-(dietilamino)-",C6 H15 N S,(2-Mercaptoethyl)diethylamine;2-(Diethylamino)ethanethiol;2-(Diethylamino)ethyl mercaptan;2-(N N-Diethylamino)ethanethiol;Diethyl(2-mercaptoethyl)amine;Diethylcysteamine;N N-Diethylcysteamine;NSC 49193;Nulo
100-39-0,"Benceno, (bromometil) -",C7H7Br,"Tolueno,. Alfa.-bromo-; (bromometil) benceno; (bromofenil) metano; 1-Bromometilbenceno;  bromuro de bencilo; bromuro de fenilmetil; .Alfa.-bromotolueno; .Omega.-bromotolueno; (Bromophenyl)methane; 1-(Bromomethyl)benzene; Benzyl bromide; NSC 8041; Phenylmethyl bromide; alpha -Bromotoluene; w-Bromotoluene;Toluene alpha -bromo- (8CI); (Bromomethyl)benzene;Bromuro de bencilo"
100-41-4,"Benceno, etil -",C8H10,Etilbenceno; Etilbenzol; feniletano; .Alfa.-Metiltolueno;etil benceno; Ethylbenzol; NSC 406903; Phenylethane; alpha -Methyltoluene;EB; Ethylbenzene;Etil Benceno
100-42-5,"Benceno, etenil -",C8H8,Estireno; Cinameno; etenilbenceno; fenileteno; estirol; Vinilbenceno; Vinilbenzol;estireno (monomero);feniletileno;vinil benceno;Styrene (8CI);Cinnamene;Ethenylbenzene;Maomin SM;NSC 62785;Phenethylene;Phenylethene;Phenylethylene;Styrol;Styrole;Styrolene;Styropol SO;TTB 7302;Vinylbenzene;Vinylbenzol; Ethenylbenzene; Maomin SM; NSC 62785; Phenethylene; Phenylethene; Phenylethylene; Styrol; Styrole; Styrolene; Styropol SO; TTB 7302; Vinylbenzene; Vinylbenzol;Styrene (8CI); Cinnamene;Cinamol
100-44-7,"Benceno, (clorometil) -",C7H7Cl,"Tolueno,. Alfa.-cloro-; (clorometil) benceno; 1-clorometilbenceno; cloruro de bencilo; clorofenilmetano; cloruro de fenilmetil; cloruro de tolilo; .Alfa.-clorotolueno; .Omega.-clorotolueno;alfa - clorotolueno;bencil - cloruro;cloruro de bencilo; 1-Chloromethylbenzene; Benzyl chloride; Chlorophenylmethane; NSC 8043; Phenylmethyl chloride; Tolyl chloride; alpha -Chlorotoluene; w-Chlorotoluene;Toluene alpha -chloro- (8CI); (Chloromethyl)benzene;Cloruro de bencilo"
100-46-9,Bencenometanoamina,C7H9N,Bencilamina ; (aminometil) benceno; (fenilmetil) amina; 1-fenilmetanamina; Monobenzilamina; N-bencilamina; fenilmetanamina; .Alfa.-aminotolueno; .Omega.-aminotolueno; (Phenylmethyl)amine; 1-Phenylmethanamine; Monobenzylamine; N-Benzylamine; NSC 8046; Phenylmethanamine; alpha -Aminotoluene; w-Aminotoluene;Benzylamine (8CI); (Aminomethyl)benzene;Bencilamina sustituida.
100-47-0,Benzonitrilo,C7H5N,bencenocarbonitrilo; bencenonitrilo; nitrilo del ácido benzoico; Benzonitrilo; Cianobenceno; cianuro de fenilo; Benzenenitrile; Benzoic acid nitrile; Benzonitril; Cyanobenzene; NSC 8039; Phenyl cyanide;Benzene cyano-; Benzenecarbonitrile;Benzonitrilo
100-50-5,3-ciclohexeno-1-carboxaldehído,C7H10O,"(+-)- 3-ciclohexeno-1-carboxaldehído; 1,2,3,6-Tetrahidrobenzaldehido; 1-ciclohexeno-4-carboxaldehído; 1-formil-3-ciclohexeno; 3-ciclohexen-1-aldehído; 3-ciclohexeno-1-carbaldehído; 4-Formilciclohexeno; ciclohexeno-4-carboxaldehído; 3-Tetrahidrobenzaldehido; 1 2 5 6-Tetrahydrobenzaldehyde; 1-Cyclohexene-4-carboxaldehyde; 1-Formyl-3-cyclohexene; 3-Cyclohexen-1-aldehyde; 3-Cyclohexene-1-carbaldehyde; 4-Formylcyclohexene; Cyclohexene-4-carboxaldehyde; NSC 16241; Delta 3-Tetrahydrobenzaldehyde;(+-)-3-Cyclohexene-1-carboxaldehyde; 1236-Tetrahydrobenzaldehyde;1,2,3,6-tetrahidrobenzaldehido"
100-51-6,Bencenometanol,C7H8O,Alcohol bencílico ; (hidroximetil) benceno; bencenocarbinol; alcohol bencílico; fenilcarbinol; fenilmetanol; alcohol fenilmetil; .Alfa.-hidroxitolueno; .Alfa.-Toluenol; Benzenecarbinol; Benzylic alcohol; NSC 8044; Phenylcarbinol; Phenylmethanol; Phenylmethyl alcohol; Sunmorl BK 20; TB 13G; alpha -Hydroxytoluene; alpha -Toluenol;Benzyl alcohol (8CI); (Hydroxymethyl)benzene;Alcohol bencílico
100-52-7,Benzaldehído,C7H6O,Aceite de Almendras artificial; benzaldehído FFC; bencenocarbonal; bencenocarboxaldehido; aldehído del ácido benzoico; aldehído benzoico; fenilformaldehido; fenilmetanal; Benzenecarbonal; Benzenecarboxaldehyde; Benzoic acid aldehyde; Benzoic aldehyde; NSC 7917; Phenylformaldehyde; Phenylmethanal;Artificial Almond Oil; Benzaldehyde FFC;Benzaldehído
100-54-9,3-piridincarbonitrilo,C6H4N2,Nicotinonitrilo ; 3-Azabenzonitrilo; 3-cianopiridina; 3-piridinanitrilo; 3-cianuro piridil; 3-piridilcarbonitrilo; nitrilo de ácido nicotínico; .Beta.-cianopiridina; 3-Cyanopyridine; 3-Pyridinenitrile; 3-Pyridyl cyanide; 3-Pyridylcarbonitrile; NSC 17558; Nicotinic acid nitrile; beta -Cyanopyridine;Nicotinonitrile (8CI); 3-Azabenzonitrile;3-Cianopiridina 
100-57-2,"Mercurio, hidroxifenil -",C6H6HgO,Hidróxido de Fenilmercurio ; hidroxifenilmercurio; hidroximercurio fenilo; hidróxido de fenilmercurio; hidróxido de Fenilmercurio (II) ; Mersolite 1; NSC 4773; Phenyl hydroxymercury; Phenylmercuric hydroxide; Phenylmercury (II) hydroxide;Phenylmercury hydroxide (6CI); Hydroxyphenylmercury;Hidróxido fenilmercúrico
100-61-8,"Bencenamina, N-metil -",C7H9N,"Anilina, N-metil-; (metilamino) benceno; Anilinometano; metil (fenil) amina; metilanilina, N-metil-N-fenilamina; N-metilanilina; N-Metilbencenamina; N-Metilfenilamina; N-Monometilanilina; N -fenil-N-metilamina; N-fenilmetilamina; Anilinomethane; Methyl(phenyl)amine; Methylaniline; N-Methyl-N-phenylamine; N-Methylaniline; N-Methylbenzenamine; N-Methylphenylamine; N-Monomethylaniline; N-Phenyl-N-methylamine; N-Phenylmethylamine; NSC 3502;Aniline N-methyl- (8CI); (Methylamino)benzene;Metilanilina"
100-63-0,"Hidracina, fenil -",C6H8N2,Hidrazinobenceno; Monofenilhidrazina; Fenilhidracina;Hydrazinobenzene;Monophenylhydrazine;Phenylhydrazine; Phenylhydrazine;Hydrazinobenzene; Monophenylhydrazine;Fenil hidracina
100-66-3,"Benceno, metoxi -",C7H8O,Anisol ; metoxibenceno; fenil éter de metilo; fenoximetano; éter metil fenil; Hichemix MB; Methoxybenzene; Methyl phenyl ether; NSC 7920; Phenoxymethane; Phenyl methyl ether;Anisole (8CI); Anisol;Anisol
100-69-6,"Piridina, 2-etenil -",C7H7N,"Piridina, 2-vinil-;  2-Etenilpiridina; 2-piridiletileno; 2-vinilpiridina; .Alfa.-vinilpiridina; 2-Pyridylethylene; 2-Vinylpyridine; NSC 18255; alpha -Vinylpyridine;Pyridine 2-vinyl- (8CI); 2-Ethenylpyridine;Vinilpiridinas"
100-73-2,"2H-piran-2-carboxaldehído, 3,4-dihidro -",C6H8O2,"2-formil-3,4-dihidro-2H-pirano; 2-Propenal, dímero; 3,4-dihidro-2-formil-2H-pirano; 3,4-dihidro-2H-piran-2-aldehído; 3,4-dihidro-2H-piran-2-carbaldehído; 3,4-dihidro-2H-piran-2-carboxaldehído; 5-hexenal, 2,6-epoxi; dímero acroleína; 3 4-Dihydro-2-formyl-2H-pyran; 3 4-Dihydro-2H-pyran-2-aldehyde; 3 4-Dihydro-2H-pyran-2-carbaldehyde; 3 4-Dihydro-2H-pyran-2-carboxaldehyde; 5-Hexenal 2 6-epoxy-; Acrolein dimer; NSC 95413;2-Formyl-34-dihydro-2H-pyran; 2-Propenal dimer;Dimero de la acroleina"
100-74-3,"Morfolina, 4-etil -",C6H13NO,"4-Etilmorfolina; Ethylmorpholine; Jeffcat NEM; KL 22; Kaolizer 22; N-Ethylmorpholine; NEM; NSC 6110; Toyocat NEM;4-Ethylmorpholine; Dabco NEM;Etilmorfolina, n (etilmorfolina 4)"
100-75-4,"Piperidina, 1-nitroso -",C5H10N2O,1-nitrosopiperidina; N-nitrosopiperidina; NPI; NPIP; NSC 138;1-Nitrosopiperidine; N-Nitrosopiperidine;N-nitrosopiperdinina
100-80-1,"Benceno, 1-etenil-3-metil -",C9H10,m-metil-Estireno;  1-etinil-3-metilbenceno; 1-metil-3-vinilbenceno; 3-Etenilmetilbenceno; 3-Metilestireno; 3-Viniltolueno; Metilestireno-m;  m-Viniltolueno; 1-Methyl-3-vinylbenzene; 3-Ethenylmethylbenzene; 3-Methylstyrene; 3-Vinyltoluene; m-Methylstyrene; m-Vinyltoluene;Styrene m-methyl- (8CI); 1-Ethenyl-3-methylbenzene;m-Metilestireno.
100-83-4,"Benzaldehido, 3-hidroxi-",C7 H6 O2,Benzaldehyde  m-hydroxy- (8CI);3-Formylphenol;3-Hydroxybenzaldehyde;NSC 3504;m-Formylphenol;m-Hydroxybenzaldehyde;Nulo
100-86-7,"Bencenoetanol, Alfa, Alfa-dimetil -",C10H14O,".Alfa.,.Alfa.-dimetil-fenetil,Alcohol; 1,1-Dimetil-2-feniletanol; 1,1-Dimetil-2-feniletil alcohol;  1,1-Dimetilfeniletanol, 1 -bencil-1-metiletanol;  1-fenil-2-hidroxi-2-metilpropano;  1-fenil-2-metilpropan-2-ol;  2-Benzil-2-propanol;  2-hidroxi-2-metil-1-fenilpropano; 2-metil-1-fenil-2-propanol;  2-metil-3-fenil-2-propanol; Benzildimetilcarbinol;  Dimetilbenzilcarbinol; 1 1-Dimethyl-2-phenylethyl alcohol; 1 1-Dimethylphenylethanol; 1-Benzyl-1-methylethanol; 1-Phenyl-2-hydroxy-2-methylpropane; 1-Phenyl-2-methylpropan-2-ol; 2-Benzyl-2-propanol; 2-Hydroxy-2-methyl-1-phenylpropane; 2-Methyl-1-phenyl-2-propanol; 2-Methyl-3-phenyl-2-propanol; Benzyldimethylcarbinol; DMBC; Dimethylbenzylcarbinol; NSC 27228; NSC 46103; NSC 5236; Phenyl-tert-butanol; alpha  alpha -Dimethylbenzeneethanol; alpha  alpha -Dimethylphenethanol; alpha  alpha -Dimethylphenethyl alcohol; beta -Phenyl-tert-butyl alcohol;Phenethyl alcohol alpha alpha -dimethyl- (6CI7CI8CI); 11-Dimethyl-2-phenylethanol;Dimetilbencilcarbinol."
100-88-9,"Ácido sulfámico, n-ciclohexil-",C6 H13 N O3 S,Cyclohexanesulfamic acid (6CI 7CI 8CI);Sulfamic acid  cyclohexyl- (9CI);Cyclamate;Cyclamic acid;Cyclohexylamidosulfuric acid;Cyclohexylaminesulfonic acid;Cyclohexylsulfamic acid;Hexamic acid;N-Cyclohexylsulfamic acid;NSC 220327;Polycat 200;Nulo
100-97-0,"1,3,5,7-Tetraazatriciclo [3.3.1.13,7] decano",C6H12N4,"Hexametilentetramina ; 1,3,5,7-Tetraazaadamantane; Aceto HMT; 1 3 5 7-Tetraazatricyclo[3.3.1.13 7]decane (Urotropine); Aceto HMT; Aminoform; Ammoform; Antihydral; Cystogen; Duirexol; Ekagom H; Formamine; Formin; Formin (heterocycle); HA; HMT; HMTA; Heksa K; Herax UTS; Heterin; Hexa; Hexa (vulcanization accelerator); Hexa B; Hexa-Flo-Pulver;Hexaform;Hexamethylenamine;Hexamine;Hexamine (heterocycle);Hexamine Superfine;Hexasan;Methenamide;Methenamin;Methenamine;NSC 26346;NSC 403347;Nocceler H;Nocceler H-PO;Preparation AF;Hexamethylenetetramine (8CI); 1357-Tetraazaadamantane;Hexamina"
1001-55-4,"Acetonitrilo, 2-(acetiloxi)-",C4 H5 N O2,"Acetonitrilo (acetiloxi) - (9CI);áGlycolonitrile, acetato (7CI);áGlycolonitrile, acetato (éster) (8CI);á2-Acetoxiacetonitrile;áAcetoxiacetonitrile;áAcetoximetil cianuro;áCyanometil acetato; Glycolonitrile  acetate (ester) (8CI); 2-Acetoxyacetonitrile; Acetoxyacetonitrile; Acetoxymethyl cyanide; Cyanomethyl acetate; NSC 71942;Acetonitrile (acetyloxy)- (9CI); Glycolonitrile acetate (7CI);CIANO ACETATO DE METILO"
1002-16-0,"Ácido nítrico, pentil éster",C5 H11 N O3,Nitrato de amilo ; 1-nitrato de amilo; N-nitrato de amilo; Amyl nitrate; n-Pentyl nitrate;Pentyl nitrate (6CI7CI); 1-Pentyl nitrate;Nitrato de amilo
10022-31-8,"Ácido nítrico, sal de bario (2:1)",Ba.2HNO3,"ácido nítrico, sal de bario ; dinitrato de bario;  nitrato de bario ; Nitrato de bario (II) ; Barium nitrate (Ba(NO3)2); Barium(II) nitrate;Nitric acid barium salt (8CI9CI); Barium dinitrate; Barium nitrate;Nitrato de bario"
10024-97-2,Ôxido de nitrógeno (N2O),N2O,monóxido de dinitrógeno;  óxido de dinitrógeno;  óxido de dinitrógeno;   anhídrido de ácido Hiponitroso; gas de la risa;  óxido nitroso;  R 744A;xido de nitrgeno;xido nitroso; Factitious air; Hyponitrous acid anhydride; Laughing gas; Nitrous oxide; R 744A;Dinitrogen monoxide; Dinitrogen oxide; Dinitrogen oxide (N2O);Ôxido nitroso (protóxido de nitrógeno)
10025-65-7,Cloruro de platino (PtCl2),Cl2Pt,Cloruro  platinoso;  bicloruro  platinoso; dicloruro de platino; dicloruro de  platino (II); Platinum(II) chloride; Platinum(II) dichloride;Platinous chloride; Platinous dichloride; Platinum dichloride;Cloruro platinoso
10025-67-9,Cloruro de azufre (S2Cl2),Cl2S2,Clorosulfano; Diclorodisulfano; dicloruro de disulfuro; cloruro de azufre; Monocloruro de azufre; subcloruro de azufre; dicloruro de Tiosulfuroso; Sulfur chloride; Sulfur monochloride; Sulfur monochloride (S2Cl2); Sulfur subchloride; Sulphur chloride (S2Cl2); Thiosulfurous dichloride;Chlorosulfane; Dichlorodisulfane; Disulfur dichloride;Monocloruro de azufre
10025-69-1,"Cloruro de esta±o (sncl2), dihidrato (8ci,9ci)",Cl2 Sn . 2 H2 O,Stannous chloride dihydrate;Stannous dichloride dihydrate;Tin chloride dihydrate;Tin dichloride dihydrate;Tin dichloride dihydrate (SnCl2.2H2O);Tin(II) chloride dihydrate;Nulo
10025-73-7,Cloruro de cromo (CrCl3),Cl3Cr,Cloruro crómico; tricloruro crómico; tricloruro de cromo; cloruro de cromo (3 +); Cloruro de cromo (III); Triclorocromio; Chromic trichloride; Chromium trichloride; Chromium trichloride (CrCl3); Chromium(3+) chloride; Chromium(III) chloride; Trichlorochromium;C.I. 77295; Chromic chloride; Chromic chloride (CrCl3);Tricloruro de cromo
10025-78-2,"Silano, tricloro -",Cl3HSi,Silicocloroformo; hidruro de cloruro de silicio; Tricloromonosilano; triclorosilano; Silicon chloride hydride (SiHCl3); Trichloromonosilane; Trichlorosilane; Trichlorosilane (HSiCl3); Trichlorosilane (SiHCl3);Hydrotrichlorosilane; Silicochloroform; Silicon chloride hydride (SiCl3H);Tricloroxilano
10025-87-3,Tricloruro fosfórico,Cl3OP,Cloruro de fosforilo; tricloruro fosfonilo;  cloruro fosfórico;  oxicloruro de fósforo;Cloruro de fosforilo ; tricloruro fosfonilo;  cloruro fosfórico;  óxido de cloruro de fósforo; fosforoxitricloruro; Oxicloruro de fósforo; monóxido de tricloruro de fósforo;  óxido de tricloruro de fósforo; Phosphorous chloride oxide (POCl3); Phosphoroxychloride; Phosphoroxytrichloride; Phosphorus chloride oxide (PCl3O); Phosphorus chloride oxide (POCl3); Phosphorus monoxide trichloride; Phosphorus oxide trichloride; Phosphorus oxychloride; Phosphorus oxytrichloride; Phosphorus trichloride oxide; Phosphoryl trichloride; Trichlorophosphine oxide; Trichlorophosphorus oxide;Phosphoryl chloride (8CI); Phosphonyl trichloride; Phosphoric chloride;Cloruro de fosforilo
10025-91-9,"Estibina, tricloro -",Cl3Sb,Cloruro de antimonio;  cloruro antimonioso;  cloruro de antimonio; tricloruro de antimonio (III); Antimony chloride (Sb2Cl6); Antimony trichloride; Antimony(III) chloride; Antimony(III) trichloride; Butter of antimony; C.I. 77056; Trichloroantimony; Trichlorostibine;Antimony chloride (SbCl3) (6CI7CI); Antimonous chloride; Antimony Butter;Cloruro antimonioso
10025-97-5,Cloruro de iridio (IrCl4),Cl4Ir,Tetracloruro de Iridio; cloruro de Iridio (IV) ;Iridium tetrachloride; Iridium(IV) chloride;Tetracloruro de iridio
